Beam,Station (m),ETABS M3 (kN·m),2D M (kN·m),3D M (kN·m),FEM M (kN·m),Δ2D%,Δ3D%,ΔFEM%
B43,2.000,1.73,3.22,2.92,2.15,+85.8%,+68.4%,+23.9%
B43,2.400,-1.23,-0.09,-0.41,0.26,+92.6%,+66.6%,+121.4%
B43,2.800,-4.57,-5.64,-6.01,-2.69,-23.5%,-31.8%,+41.0%
B43,0.200,-7.03,-9.50,-10.17,-2.63,-35.3%,-44.7%,+62.6%
B43,0.600,-3.23,-2.77,-3.29,0.31,+14.2%,-1.9%,+109.5%
B43,1.000,0.15,1.73,1.32,2.17,+1062.9%,+787.2%,+1356.6%
B43,1.000,0.39,1.73,1.32,2.17,+344.4%,+239.0%,+456.6%
B43,1.500,1.33,4.22,3.89,3.00,+216.8%,+192.2%,+124.9%
B43,2.000,1.62,3.22,2.92,2.15,+99.4%,+80.8%,+33.0%
B43,2.000,1.48,3.22,2.92,2.15,+117.0%,+96.7%,+44.7%
B43,2.400,-1.03,-0.09,-0.41,0.26,+91.2%,+60.0%,+125.6%
B43,2.800,-3.97,-5.64,-6.01,-2.69,-42.0%,-51.6%,+32.2%
B42,0.100,-4.26,-9.83,-9.69,-7.84,-130.8%,-127.6%,-84.2%
B42,0.550,2.73,2.44,2.48,0.02,-10.6%,-9.3%,-99.4%
B42,1.000,9.26,10.01,9.95,4.79,+8.1%,+7.5%,-48.2%
B42,1.000,9.97,10.01,9.95,4.79,+0.4%,-0.2%,-51.9%
B42,1.500,11.14,12.91,12.76,6.49,+15.9%,+14.5%,-41.8%
B42,2.000,11.73,10.01,9.77,4.38,-14.7%,-16.7%,-62.7%
B42,2.000,11.32,10.01,9.77,4.38,-11.6%,-13.7%,-61.3%
B42,2.450,5.91,2.44,2.13,-0.77,-58.7%,-63.9%,-113.1%
B42,2.900,0.04,-9.83,-10.19,-9.01,0.0%,0.0%,0.0%
B42,0.100,-3.56,-9.83,-9.69,-7.84,-176.3%,-172.4%,-120.4%
B42,0.550,2.32,2.44,2.48,0.02,+5.3%,+6.9%,-99.3%
B42,1.000,7.66,10.01,9.95,4.79,+30.7%,+30.0%,-37.4%
B42,1.000,8.24,10.01,9.95,4.79,+21.4%,+20.7%,-41.9%
B42,1.500,9.30,12.91,12.76,6.49,+38.8%,+37.2%,-30.2%
B42,2.000,9.70,10.01,9.77,4.38,+3.2%,+0.8%,-54.9%
B42,2.000,9.36,10.01,9.77,4.38,+7.0%,+4.4%,-53.2%
B42,2.450,4.94,2.44,2.13,-0.77,-50.6%,-56.8%,-115.7%
B42,2.900,-0.01,-9.83,-10.19,-9.01,0.0%,0.0%,0.0%
B22,0.000,-6.86,-4.31,0.00,0.00,+37.1%,+100.0%,+100.0%
B22,0.500,-5.11,0.91,0.00,0.00,+117.7%,+100.0%,+100.0%
B22,1.000,-3.93,2.90,0.00,0.00,+173.9%,+100.0%,+100.0%
B22,1.000,-4.68,2.90,0.00,0.00,+161.9%,+100.0%,+100.0%
B22,1.500,-2.06,1.67,0.00,0.00,+181.1%,+100.0%,+100.0%
B22,2.000,0.00,-2.78,0.00,0.00,0.0%,0.0%,0.0%
B22,0.000,-5.76,-4.31,0.00,0.00,+25.2%,+100.0%,+100.0%
B22,0.500,-4.22,0.91,0.00,0.00,+121.5%,+100.0%,+100.0%
B22,1.000,-3.34,2.90,0.00,0.00,+186.8%,+100.0%,+100.0%
B22,1.000,-3.96,2.90,0.00,0.00,+173.1%,+100.0%,+100.0%
B22,1.500,-1.65,1.67,0.00,0.00,+201.0%,+100.0%,+100.0%
B22,2.000,0.00,-2.78,0.00,0.00,0.0%,0.0%,0.0%
B21,0.000,0.00,-0.18,0.00,0.00,0.0%,0.0%,0.0%
B21,0.500,-2.86,0.48,0.00,0.00,+116.9%,+100.0%,+100.0%
B21,1.000,-6.28,-2.99,0.00,0.00,+52.3%,+100.0%,+100.0%
B21,0.000,0.00,-0.18,0.00,0.00,0.0%,0.0%,0.0%
B21,0.500,-2.29,0.48,0.00,0.00,+121.1%,+100.0%,+100.0%
B21,1.000,-5.24,-2.99,0.00,0.00,+42.9%,+100.0%,+100.0%
B30,0.000,2.15,-2.51,0.00,0.00,-216.8%,-100.0%,-100.0%
